乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
。	記号,句点,*,*,*,*,。,。,。
小中学生	名詞,一般,*,*,*,*,小中学生,ショウチュウガクセイ,ショーチューガクセイ
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
地元	名詞,一般,*,*,*,*,地元,ジモト,ジモト
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
セゾンフットボールクラブ	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
所属	名詞,サ変接続,*,*,*,*,所属,ショゾク,ショゾク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2004	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
、	記号,読点,*,*,*,*,、,、,、
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ
県立	名詞,一般,*,*,*,*,県立,ケンリツ,ケンリツ
野洲	名詞,固有名詞,地域,一般,*,*,野洲,ヤス,ヤス
高等	名詞,形容動詞語幹,*,*,*,*,高等,コウトウ,コートー
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
進学	名詞,サ変接続,*,*,*,*,進学,シンガク,シンガク
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
左	名詞,一般,*,*,*,*,左,ヒダリ,ヒダリ
ウイング	名詞,一般,*,*,*,*,ウイング,ウイング,ウイング
の	助詞,連体化,*,*,*,*,の,ノ,ノ
レギュラー	名詞,一般,*,*,*,*,レギュラー,レギュラー,レギュラー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つかみ	動詞,自立,*,*,五段・マ行,連用形,つかむ,ツカミ,ツカミ
、	記号,読点,*,*,*,*,、,、,、
一	名詞,数,*,*,*,*,一,イチ,イチ
学年	名詞,一般,*,*,*,*,学年,ガクネン,ガクネン
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
楠	名詞,固有名詞,人名,姓,*,*,楠,クスノキ,クスノキ
神	名詞,固有名詞,人名,姓,*,*,神,カミ,カミ
順平	名詞,固有名詞,人名,名,*,*,順平,ジュンペイ,ジュンペイ
、	記号,読点,*,*,*,*,、,、,、
青木	名詞,固有名詞,人名,姓,*,*,青木,アオキ,アオキ
孝	名詞,固有名詞,人名,名,*,*,孝,タカシ,タカシ
太	名詞,固有名詞,人名,名,*,*,太,フトシ,フトシ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
同級生	名詞,一般,*,*,*,*,同級生,ドウキュウセイ,ドーキューセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
田中	名詞,固有名詞,人名,姓,*,*,田中,タナカ,タナカ
雄大	名詞,固有名詞,人名,名,*,*,雄大,タケヒロ,タケヒロ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
2005	名詞,数,*,*,*,*,*
年度	名詞,接尾,助数詞,*,*,*,年度,ネンド,ネンド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
84	名詞,数,*,*,*,*,*
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
全国	名詞,一般,*,*,*,*,全国,ゼンコク,ゼンコク
高等	名詞,形容動詞語幹,*,*,*,*,高等,コウトウ,コートー
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
選手権	名詞,一般,*,*,*,*,選手権,センシュケン,センシュケン
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
、	記号,読点,*,*,*,*,、,、,、
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
優勝	名詞,サ変接続,*,*,*,*,優勝,ユウショウ,ユーショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
全体	名詞,副詞可能,*,*,*,*,全体,ゼンタイ,ゼンタイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
誇っ	動詞,自立,*,*,五段・ラ行,連用タ接続,誇る,ホコッ,ホコッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
、	記号,読点,*,*,*,*,、,、,、
セクシー	名詞,一般,*,*,*,*,セクシー,セクシー,セクシー
フットボール	名詞,一般,*,*,*,*,フットボール,フットボール,フットボール
と	助詞,格助詞,引用,*,*,*,と,ト,ト
呼ば	動詞,自立,*,*,五段・バ行,未然形,呼ぶ,ヨバ,ヨバ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
担っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,担う,ニナッ,ニナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
連覇	名詞,サ変接続,*,*,*,*,連覇,レンパ,レンパ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指し	動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
選手権	名詞,一般,*,*,*,*,選手権,センシュケン,センシュケン
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
直前	名詞,一般,*,*,*,*,直前,チョクゼン,チョクゼン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
スパイク	名詞,サ変接続,*,*,*,*,スパイク,スパイク,スパイク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
盗ま	動詞,自立,*,*,五段・マ行,未然形,盗む,ヌスマ,ヌスマ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
巻き込ま	動詞,自立,*,*,五段・マ行,未然形,巻き込む,マキコマ,マキコマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
も	助詞,係助詞,*,*,*,*,も,モ,モ
2	名詞,数,*,*,*,*,*
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
挙げ	動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
3	名詞,数,*,*,*,*,*
回戦	名詞,接尾,助数詞,*,*,*,回戦,カイセン,カイセン
敗退	名詞,サ変接続,*,*,*,*,敗退,ハイタイ,ハイタイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
喫し	動詞,自立,*,*,五段・サ行,連用形,喫す,キッシ,キッシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2007	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
横浜	名詞,固有名詞,地域,一般,*,*,横浜,ヨコハマ,ヨコハマ
F	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
マリノス	名詞,固有名詞,組織,*,*,*,マリノス,マリノス,マリノス
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
入団	名詞,サ変接続,*,*,*,*,入団,ニュウダン,ニューダン
。	記号,句点,*,*,*,*,。,。,。
J	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
・	記号,一般,*,*,*,*,・,・,・
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
横浜	名詞,固有名詞,地域,一般,*,*,横浜,ヨコハマ,ヨコハマ
FC	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
プロ	名詞,一般,*,*,*,*,プロ,プロ,プロ
デビュー	名詞,サ変接続,*,*,*,*,デビュー,デビュー,デビュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たし	動詞,自立,*,*,五段・サ行,連用形,果たす,ハタシ,ハタシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ものの	助詞,接続助詞,*,*,*,*,ものの,モノノ,モノノ
、	記号,読点,*,*,*,*,、,、,、
以降	名詞,副詞可能,*,*,*,*,以降,イコウ,イコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
横浜	名詞,固有名詞,地域,一般,*,*,横浜,ヨコハマ,ヨコハマ
FM	名詞,一般,*,*,*,*,*
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
厚い	形容詞,自立,*,*,形容詞・アウオ段,基本形,厚い,アツイ,アツイ
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
層	名詞,接尾,一般,*,*,*,層,ソウ,ソー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
阻ま	動詞,自立,*,*,五段・マ行,未然形,阻む,ハバマ,ハバマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
なかなか	副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得	動詞,自立,*,*,一段,未然形,得る,エ,エ
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
、	記号,読点,*,*,*,*,、,、,、
2008	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
セレッソ大阪	名詞,固有名詞,組織,*,*,*,セレッソ大阪,セレッソオオサカ,セレッソオーサカ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
期限	名詞,一般,*,*,*,*,期限,キゲン,キゲン
付き	名詞,接尾,一般,*,*,*,付き,ツキ,ツキ
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
香川	名詞,固有名詞,人名,姓,*,*,香川,カガワ,カガワ
真司	名詞,固有名詞,人名,名,*,*,真司,シンジ,シンジ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
息	名詞,サ変接続,*,*,*,*,息,イキ,イキ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,合う,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
プレー	名詞,サ変接続,*,*,*,*,プレー,プレー,プレー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
披露	名詞,サ変接続,*,*,*,*,披露,ヒロウ,ヒロー
。	記号,句点,*,*,*,*,。,。,。
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
J	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
昇格	名詞,サ変接続,*,*,*,*,昇格,ショウカク,ショーカク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
認め	動詞,自立,*,*,一段,未然形,認める,ミトメ,ミトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
セレッソ大阪	名詞,固有名詞,組織,*,*,*,セレッソ大阪,セレッソオオサカ,セレッソオーサカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
。	記号,句点,*,*,*,*,。,。,。
2009	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
5	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
23	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
J	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
17	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
アビスパ	名詞,固有名詞,組織,*,*,*,*
福岡	名詞,固有名詞,地域,一般,*,*,福岡,フクオカ,フクオカ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
同年	名詞,副詞可能,*,*,*,*,同年,ドウネン,ドーネン
11	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
8	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ザスパ	名詞,一般,*,*,*,*,*
草津	名詞,固有名詞,地域,一般,*,*,草津,クサツ,クサツ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
1	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
4	名詞,数,*,*,*,*,*
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
（	記号,括弧開,*,*,*,*,（,（,（
ハットトリック	名詞,一般,*,*,*,*,ハットトリック,ハットトリック,ハットトリック
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
4	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
ぶり	名詞,接尾,一般,*,*,*,ぶり,ブリ,ブリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
J	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
昇格	名詞,サ変接続,*,*,*,*,昇格,ショウカク,ショーカク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
貢献	名詞,サ変接続,*,*,*,*,貢献,コウケン,コーケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2011	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
8	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
1	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
ドイツ	名詞,固有名詞,地域,国,*,*,ドイツ,ドイツ,ドイツ
2	名詞,数,*,*,*,*,*
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
VfL	名詞,一般,*,*,*,*,*
ボーフム	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
。	記号,句点,*,*,*,*,。,。,。
11	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
8	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
14	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
6	名詞,数,*,*,*,*,*
月	名詞,接尾,助数詞,*,*,*,月,ツキ,ツキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
契約	名詞,サ変接続,*,*,*,*,契約,ケイヤク,ケイヤク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ボーフム	名詞,一般,*,*,*,*,*
側	名詞,接尾,一般,*,*,*,側,ガワ,ガワ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
1	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
延長	名詞,サ変接続,*,*,*,*,延長,エンチョウ,エンチョー
オプション	名詞,一般,*,*,*,*,オプション,オプション,オプション
付き	名詞,接尾,一般,*,*,*,付き,ツキ,ツキ
。	記号,句点,*,*,*,*,。,。,。
8	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
12	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
FC	名詞,一般,*,*,*,*,*
ザンクトパウリ	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
下	名詞,接尾,一般,*,*,*,下,カ,カ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
先発	名詞,サ変接続,*,*,*,*,先発,センパツ,センパツ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
。	記号,句点,*,*,*,*,。,。,。
以後	名詞,副詞可能,*,*,*,*,以後,イゴ,イゴ
レギュラー	名詞,一般,*,*,*,*,レギュラー,レギュラー,レギュラー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
定着	名詞,サ変接続,*,*,*,*,定着,テイチャク,テイチャク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
30	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
7	名詞,数,*,*,*,*,*
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
も	助詞,係助詞,*,*,*,*,も,モ,モ
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
低迷	名詞,サ変接続,*,*,*,*,低迷,テイメイ,テイメイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
1	名詞,数,*,*,*,*,*
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ
昇格	名詞,サ変接続,*,*,*,*,昇格,ショウカク,ショーカク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
逃し	動詞,自立,*,*,五段・サ行,連用形,逃す,ノガシ,ノガシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2012	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
25	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
ドイツ	名詞,固有名詞,地域,国,*,*,ドイツ,ドイツ,ドイツ
1	名詞,数,*,*,*,*,*
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
1	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
ぶり	名詞,接尾,一般,*,*,*,ぶり,ブリ,ブリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
昇格	名詞,サ変接続,*,*,*,*,昇格,ショウカク,ショーカク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
アイン	名詞,固有名詞,人名,姓,*,*,アイン,アイン,アイン
トラ	名詞,固有名詞,人名,名,*,*,トラ,トラ,トラ
ハト	名詞,一般,*,*,*,*,ハト,ハト,ハト
・	記号,一般,*,*,*,*,・,・,・
フランクフルト	名詞,固有名詞,地域,一般,*,*,フランクフルト,フランクフルト,フランクフルト
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
合意	名詞,サ変接続,*,*,*,*,合意,ゴウイ,ゴーイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
両	接頭詞,名詞接続,*,*,*,*,両,リョウ,リョー
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
